testdir,nranks,epcnt,epsz,wrsz,blksz,access,bw(MiB/s),IOPS,Latency(s),block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),iter
/mnt/lt20ad2/fio-jobdir,512,12,372,4464M,1m,
/mnt/lt20ad2/fio-jobdir,16,1,372,372M,1m,write,132.90,132.91,0.013992,380928,1024.00,0.007952,44.78,43.83,44.79,0,
/mnt/lt20ad2/fio-jobdir,16,3,372,1116M,1m,write,2836.53,2837.16,0.005540,1142784,1024.00,0.008433,6.29,0.449774,6.30,0,
/mnt/lt20ad2/fio-jobdir,16,6,372,2232M,1m,
/mnt/lt20ad2/fio-jobdir,16,9,372,3348M,1m,write,1685.94,1686.02,0.007270,3428352,1024.00,0.007250,31.77,17.16,31.77,0,
/mnt/lt20ad2/fio-jobdir,16,12,372,4464M,1m,write,1406.88,1406.92,0.009183,4571136,1024.00,0.007555,50.77,27.93,50.77,0,
/mnt/lt20ad2/fio-jobdir,64,1,372,372M,1m,write,3169.19,3169.68,0.014536,380928,1024.00,0.007657,7.51,4.90,7.51,0,
/mnt/lt20ad2/fio-jobdir,64,3,372,1116M,1m,write,2313.57,2313.67,0.018696,1142784,1024.00,0.008594,30.87,25.23,30.87,0,
/mnt/lt20ad2/fio-jobdir,64,6,372,2232M,1m,
/mnt/lt20ad2/fio-jobdir,64,9,372,3348M,1m,write,1893.34,1893.37,0.023278,3428352,1024.00,0.008371,113.17,78.85,113.17,0,
/mnt/lt20ad2/fio-jobdir,64,12,372,4464M,1m,write,1691.88,1691.89,0.020250,4571136,1024.00,0.010721,168.86,100.44,168.86,0,
/mnt/lt20ad2/fio-jobdir,512,1,372,372M,1m,write,1993.88,1993.91,0.156089,380928,1024.00,0.012516,95.52,81.08,95.52,0,
/mnt/lt20ad2/fio-jobdir,512,3,372,1116M,1m,write,1980.16,1980.17,0.148730,1142784,1024.00,0.017686,288.56,201.71,288.56,0,
/mnt/lt20ad2/fio-jobdir,512,6,372,2232M,1m,write,2173.44,2173.46,0.135102,2285568,1024.00,0.019423,525.79,291.96,525.80,0,
/mnt/lt20ad2/fio-jobdir,512,9,372,3348M,1m,write,1675.35,1675.36,0.125104,3428352,1024.00,0.018107,1023.17,675.56,1023.17,0,
/mnt/lt20ad2/fio-jobdir,512,12,372,4464M,1m,
/mnt/ltio/fio-jobdir,16,1,372,372M,1m,write,2644.07,2645.74,0.005225,380928,1024.00,0.007502,2.25,0.891193,2.25,0,
/mnt/ltio/fio-jobdir,16,3,372,1116M,1m,write,2767.15,2767.70,0.005709,1142784,1024.00,0.006974,6.45,1.43,6.45,0,
/mnt/ltio/fio-jobdir,16,6,372,2232M,1m,
/mnt/ltio/fio-jobdir,16,9,372,3348M,1m,write,2088.28,2088.41,0.007073,3428352,1024.00,0.007911,25.65,11.62,25.65,0,
/mnt/ltio/fio-jobdir,16,12,372,4464M,1m,write,2753.51,2753.67,0.004576,4571136,1024.00,0.008419,25.94,5.94,25.94,0,
/mnt/ltio/fio-jobdir,64,1,372,372M,1m,write,5479,5480,0.006583,380928,1024.00,0.008537,4.34,3.39,4.35,0,
/mnt/ltio/fio-jobdir,64,3,372,1116M,1m,
/mnt/ltio/fio-jobdir,64,6,372,2232M,1m,write,4450,4450,0.003458,2285568,1024.00,0.013802,32.10,25.86,32.10,0,
/mnt/ltio/fio-jobdir,64,9,372,3348M,1m,write,2705.45,2705.49,0.008254,3428352,1024.00,0.014060,79.20,68.20,79.20,0,
/mnt/ltio/fio-jobdir,64,12,372,4464M,1m,write,2559.73,2559.76,0.010697,4571136,1024.00,0.010914,111.61,95.99,111.61,0,
/mnt/ltio/fio-jobdir,512,1,372,372M,1m,write,9088,9090,0.022196,380928,1024.00,0.025953,20.95,15.71,20.96,0,
/mnt/ltio/fio-jobdir,512,3,372,1116M,1m,write,4123,4123,0.078736,1142784,1024.00,0.023197,138.59,122.83,138.59,0,
